,title,final,vote_average
5762,Superman/Batman: Public Enemies,Animation Action Adventure KevinConroy TimDaly ClancyBrown SamLiu,7.037
5763,Brave,Animation Adventure Comedy Family Action Fantasy KellyMacdonald BillyConnolly EmmaThompson BrendaChapman,7.009
5764,Front of the Class,Drama JamesWolk TreatWilliams MikePniewski PeterWerner,7.832
5765,First Position,Comedy Documentary Drama AranBell RebeccaHouseknecht JoanSebastianZamora BessKargman,7.528
5766,Beauty #2, EdieSedgwick AndyWarhol,7.0
5767,Kind Lady,Drama Thriller AlineMacMahon BasilRathbone DorisLloyd GeorgeB.Seitz,7.2
5768,For Greater Glory - The True Story of Cristiada,History Drama EvaLongoria AndyGarcía OscarIsaac DeanWright,6.8
5769,Seeking a Friend for the End of the World,Comedy Drama Romance SciFi SteveCarell KeiraKnightley ConnieBritton LoreneScafaria,6.555
5770,Presto,Animation Family DougSweetland DougSweetland,7.797
5771,Jack-Jack Attack,Adventure Animation Family BudLuckey EliFucile JasonLee BradBird,7.312
5772,Boundin',Animation Family BudLuckey BudLuckey,6.601
5773,One Man Band,Animation Family  AndrewJimenez,7.276
5774,A Map For Saturday,Documentary  None,7.737
5775,The Giant Mechanical Man,Comedy Drama Romance JennaFischer ChrisMessina TopherGrace LeeKirk,6.604
5776,Revenge of the Electric Car,Documentary  ChrisPaine,7.0
5777,Disney Sing-Along-Songs: Under the Sea,  None,8.0
5778,The Amazing Spider-Man,Action Adventure Fantasy AndrewGarfield EmmaStone RhysIfans MarcWebb,6.685
5779,Reminiscences of a Journey to Lithuania,Documentary PolaChapelle PeterKubelka AdolfasMekas JonasMekas,6.984
5780,Beasts of the Southern Wild,Drama Fantasy QuvenzhanéWallis DwightHenry LevyEasterly BenhZeitlin,6.823
5781,People Like Us,Drama ChrisPine ElizabethBanks OliviaWilde AlexKurtzman,6.8
5782,The War,Documentary History War KeithDavid TomHanks JoshLucas KenBurns,7.119
5783,The Union,Music Documentary EltonJohn LeonRussell TBoneBurnett CameronCrowe,10.0
5784,The Firm,Drama PaulAnderson CalumMacNab DanielMays NickLove,6.746
5785,Geri's Game,Animation Family BobPeterson JanPinkava,7.706
5786,Treasure Island,Adventure TV Movie EddieIzzard TobyRegbo DonaldSutherland SteveBarron,6.536
5787,Radio On,Drama Thriller Mystery Music Foreign DavidBeames LisaKreuzer SandyRatcliff ChrisPetit,8.0
5788,Killer Joe,Crime Drama Thriller MatthewMcConaughey EmileHirsch ThomasHadenChurch WilliamFriedkin,6.516
5789,Elephant Boy,Family Adventure Drama Sabu W.E.Holloway WalterHudd RobertJ.Flaherty,6.7
5790,A Child's Christmas in Wales,Drama Family DenholmElliott MathonwyReeves GlynisDavies DonMcBrearty,7.1
5791,A Christmas Carol,Drama Fantasy PatrickStewart RichardE.Grant JoelGrey DavidHughJones,7.063
5792,Knick Knack,Animation  JohnLasseter,7.066
5793,For the Birds,Animation Family RalphEggleston RalphEggleston,7.491
5794,Ruby Sparks,Comedy Romance Fantasy Drama PaulDano ZoeKazan ChrisMessina JonathanDayton,7.103
5795,The Angels' Share,Drama Comedy PaulBrannigan SiobhanReilly JohnHenshaw KenLoach,7.008
5796,Oranges,Romance Drama KristenHagen ThomasBlackburne StevenKPerry KristianPithie,6.8
5797,Icarus,Action Drama Thriller SamanthaFerris DavidLewis BoSvenson DolphLundgren,7.669
5798,The Tortoise and the Hare,Animation EddieHolden AliceArdell PintoColvig WilfredJackson,6.719
5799,Neil Young Journeys,Music Documentary NeilYoung JonathanDemme,6.7
5800,The Little Mermaid: Ariel's Beginning,Family Animation JodiBenson SamuelE.Wright SallyField PeggyHolmes,6.716
5801,Skyfall,Action Adventure Thriller DanielCraig JudiDench JavierBardem SamMendes,7.222
5802,The Queen of Versailles,Documentary JackieSiegel DavidSiegel VirginiaNebab LaurenGreenfield,6.9
5803,Amish Grace,Drama KimberlyWilliams-Paisley TammyBlanchard MattLetscher GreggChampion,7.113
5804,I Am Bruce Lee,Documentary BruceLee LindaLeeCadwell ShannonLee PeteMcCormack,7.755
5805,ParaNorman,Family Animation Adventure Comedy KodiSmit-McPhee TuckerAlbrizzi JodelleFerland SamFell,6.956
5806,How Bruce Lee Changed the World,Documentary Foreign JackieChan CharlesParnell LLCoolJ SteveWebb,8.365
5807,The PHD movie,Comedy AlexandraLockwood CrystalDilworth EvansBoney VaheGabuchian,6.7
5808,Aliisa, SiiriAngerkoski SelmaMiettinen VarmaLahtinen JukkaSipilä,8.0
5809,Broken,Drama TimRoth EloiseLaurence CillianMurphy RufusNorris,6.884
5810,6 Days to Air: The Making of South Park,Documentary TV Movie TreyParker MattStone BillHader ArthurBradford,7.769
5811,Lonesome,Comedy Drama Romance BarbaraKent GlennTryon FayHolderness PálFejős,6.8
5812,The Odd Life of Timothy Green,Fantasy Drama Comedy Family JenniferGarner JoelEdgerton RonLivingston PeterHedges,6.973
5813,Lawless,Crime Drama ShiaLaBeouf TomHardy GuyPearce JohnHillcoat,7.04
5814,Sleepwalk with Me,Comedy MikeBirbiglia LaurenAmbrose LucyDeVito MikeBirbiglia,6.596
5815,Dara O Briain Talks Funny: Live in London,Comedy DaraÓBriain PaulWheeler,6.8
5816,Searching for Sugar Man,Documentary Music DennisCoffey Rodriguez StephenSegerman MalikBendjelloul,7.852
5817,Dreams of a Life,Drama Documentary Foreign ZaweAshton NeelamBakshi LeeColley CarolMorley,6.8
5818,To Mars by A-Bomb: The Secret History of Project Orion,Documentary JaromirAstl JeremyBernstein ArthurC.Clarke ChristopherSykes,8.0
5819,Do We Really Need the Moon?,Documentary  None,7.7
5820,The Mikado,Drama Comedy Music Romance Foreign EricIdle None,6.7
5821,Paradise Lost 3: Purgatory,Documentary JasonBaldwin DamienWayneEchols JessieMiskelly JoeBerlinger,7.425
5822,The Words,Drama Thriller BradleyCooper ZoeSaldana JeremyIrons BrianKlugman,6.641
5823,Pitch Perfect,Comedy Music Romance AnnaKendrick SkylarAstin BrittanySnow JasonMoore,7.302
5824,Samsara,Drama Documentary MarcosLuna PutuDindaPratika PutiSriCandraDewi RonFricke,8.06
5825,Runaway Brain,Animation WayneAllwine RussiTaylor KelseyGrammer ChrisBailey,6.6
5826,Looper,Action Thriller SciFi JosephGordon-Levitt BruceWillis EmilyBlunt RianJohnson,6.871
5827,Robot & Frank,SciFi Comedy Drama Crime FrankLangella LivTyler JamesMarsden JakeSchreier,6.921
5828,Ai Weiwei: Never Sorry,Documentary AiWeiwei Dan-qingChen AlisonKlayman,7.028
5829,Trouble with the Curve,Drama Romance ClintEastwood AmyAdams JustinTimberlake RobertLorenz,6.941
5830,Close, ChristophBach JuleBöwe JuliaRichter MarcusLenz,7.805
5831,Under African Skies,Music Documentary PaulSimon JoeBerlinger,7.3
5832,The Master,Drama JoaquinPhoenix PhilipSeymourHoffman AmyAdams PaulThomasAnderson,7.16
5833,Dredd,Action SciFi KarlUrban OliviaThirlby LenaHeadey PeteTravis,6.811
5834,We Live Again,Drama AnnaSten FredricMarch JaneBaxter RoubenMamoulian,6.7
5835,Detropia,Documentary  HeidiEwing,6.6
5836,The Chemical Brothers: Don't Think,Music TheChemicalBrothers AdamSmith,6.6
5837,The Perfect Murder,Thriller Mystery Foreign NaseeruddinShah StellanSkarsgård AmjadKhan ZafarHai,6.6
5838,Puckoon,Comedy GriffRhysJones None,6.7
5839,End of Watch,Crime Drama Thriller JakeGyllenhaal MichaelPeña NatalieMartinez DavidAyer,7.318
5840,The Perks of Being a Wallflower,Drama Romance LoganLerman EmmaWatson EzraMiller StephenChbosky,7.78
5841,Holy Motors,Drama Fantasy EvaMendes KylieMinogue MichelPiccoli LeosCarax,7.04
5842,Knuckleball!,Documentary TimWakefield R.A.Dickey CharlesHough RickiStern,6.81
5843,Thin Ice,Crime Drama GregKinnear LeaThompson BillyCrudup JillSprecher,6.754
5844,Sam Peckinpah: Man of Iron,Documentary SamPeckinpah AlanSharp KrisKristofferson PaulJoyce,6.8
5845,Shut Up and Play the Hits,Music Documentary JamesMurphy ChuckKlosterman TylerPope WillLovelace,6.988
5846,The Private Life of Don Juan,Romance Drama DouglasFairbanks MerleOberon BruceWinston AlexanderKorda,6.615
5847,The Making of a Legend: Gone with the Wind,Documentary ChristopherPlummer DavidHinton,8.0
5848,Surviving Progress,Documentary StephenHawking DavidSuzuki JaneGoodall MathieuRoy,7.344
5849,The Magic of Belle Isle,Comedy Drama MorganFreeman VirginiaMadsen MadelineCarroll RobReiner,7.0
5850,The Sapphires,Comedy Drama ChrisO'Dowd DeborahMailman JessicaMauboy WayneBlair,6.831
5851,That Certain Summer,TV Movie Drama HalHolbrook MartinSheen JoeDonBaker LamontJohnson,6.9
5852,Kon-Tiki,Adventure History PålSverreHagen AndersBaasmoChristiansen TobiasSantelmann JoachimRønning,6.927
5853,Katy Perry: Part of Me,Documentary Music KatyPerry RussellBrand ShannonWoodward DanCutforth,7.141
5854,Glorious Technicolor,Documentary AngelaLansbury EstherWilliams ArleneDahl PeterJones,6.7
5855,Ingmar Bergman on Life and Work,Documentary IngmarBergman JörnDonner JörnDonner,7.25
5856,Lon Chaney: A Thousand Faces,Documentary KennethBranagh KevinBrownlow,6.6
5857,Tank on the Moon,  None,7.0
5858,Urbanized,Documentary  GaryHustwit,7.4
5859,Waco: A New Revelation,Documentary  None,8.5
5860,The John Garfield Story,Documentary JulieGarfield JohnGarfield DavidHeeley,8.0
5861,Shameless,Comedy Drama Foreign Romance MarcusMathiasAarnseth MariaBonnevie EindrideEidsvold PetterNæss,10.0
5862,Marley,Documentary BobMarley ZiggyMarley RitaMarley KevinMacdonald,7.555
5863,Frankenweenie,Animation Comedy Family CharlieTahan CatherineO'Hara MartinShort TimBurton,6.938
5864,His Name Was Jason: 30 Years of Friday the 13th,Documentary Horror DianeAlmeida ErichAnderson JudieAronson DanielFarrands,7.081
5865,Sinister,Horror Thriller Mystery EthanHawke JulietRylance VincentD'Onofrio ScottDerrickson,6.863
5866,Fearful Symmetry,Documentary  CharlesKiselyak,9.0
5867,Louise Brooks: Looking for Lulu,Documentary  HughMunroNeely,7.2
5868,The Thing: Terror Takes Shape,Documentary JohnCarpenter DavidFoster BillLancaster MichaelMatessino,7.542
5869,Shottas,Action Adventure Crime Drama Ky-ManiMarley SpraggaBenz PaulCampbell CessSilvera,7.622
5870,Sapphire,Crime Drama Mystery Thriller NigelPatrick MichaelCraig YvonneMitchell BasilDearden,6.8
5871,Hotel Transylvania,Animation Comedy Family Fantasy AdamSandler SteveBuscemi DavidSpade GenndyTartakovsky,6.953
5872,Our City Dreams,Documentary GhadaAmer MarinaAbramović CaledoniaCurry ChiaraClemente,7.4
5873,Fat Kid Rules The World,Drama Comedy DylanArnold BillyCampbell MattO'Leary MatthewLillard,6.889
5874,Charlie Chan in Egypt,Crime Thriller Mystery Drama Comedy WarnerOland PatPaterson RitaHayworth LouisKing,7.1
5875,Charlie Chan in London,Crime Drama Mystery Thriller Comedy WarnerOland DrueLeyton RayMilland EugeneForde,6.978
5876,Shakespeare Wallah,Drama Romance ShashiKapoor FelicityKendal GeoffreyKendal JamesIvory,6.7
5877,Love in the Time of Hysteria,Drama Comedy Romance Foreign DanielGiménezCacho ClaudiaRamírez LuisdeIcaza AlfonsoCuarón,6.613
5878,Björk: Volumen,Music Björk MichelGondry,8.7
5879,Madame Tutli-Putli,Animation LaurieMaher ChrisLavis,6.967
5880,Argo,Drama Thriller BenAffleck BryanCranston AlanArkin BenAffleck,7.272
5881,Seven Psychopaths,Comedy Crime ColinFarrell SamRockwell WoodyHarrelson MartinMcDonagh,6.807
5882,Vivien Leigh: Scarlett And Beyond,  GeneFeldman,10.0
5883,The House I Live In,Documentary EugeneJarecki EugeneJarecki,7.6
5884,West of Memphis,Documentary JasonBaldwin JulieAnnDoan DamienWayneEchols AmyBerg,7.363
5885,Boogie Man: The Lee Atwater Story,Documentary Foreign TomDeLay MichaelDukakis IshmaelReed StefanForbes,7.7
5886,Kings of Pastry,Documentary Foreign  D.A.Pennebaker,6.864
5887,The Reluctant Saint,Drama MaximilianSchell RicardoMontalban LeaPadovani EdwardDmytryk,8.0
5888,The Letter,Drama JamesFranco WinonaRyder DagmaraDomińczyk JayAnania,7.367
5889,Eastwood on Eastwood,  RichardSchickel,7.0
5890,Dive!,Documentary JeremySeifert JeremySeifert,7.15
5891,How to Survive a Plague,Documentary LarryKramer DavidFrance,6.875
5892,Four Sons,Drama History War DonAmeche EugenieLeontovich MaryBethHughes ArchieMayo,7.1
5893,Last Ride,Drama HugoWeaving TomRussell AnitaHegh GlendynIvin,6.707
5894,56 Up,Documentary  MichaelApted,7.1
5895,We Are Legion: The Story of the Hacktivists,Documentary Anon2World Anonyops JulianAssange BrianKnappenberger,7.16
5896,Tom & Thomas,Drama Family AaronTaylor-Johnson SeanBean RavinJ.Ganatra EsméLammers,6.6
5897,The Ambassador,Documentary MadsBrügger MadsBrügger,6.7
5898,Cloud Atlas,Drama SciFi TomHanks HalleBerry JimBroadbent TomTykwer,6.874
5899,Hellboy: The Seeds of Creation, GuillermodelToro JavierSoto,8.4
5900,Terry Pratchett: Choosing to Die,Documentary TerryPratchett CharlieRussell,7.8
5901,Steve Jobs: The Lost Interview,Documentary SteveJobs RobertX.Cringely PaulSen,7.485
5902,Holiday Affair,Comedy Romance JanetLeigh RobertMitchum WendellCorey DonHartman,6.892
5903,Like Dandelion Dust,Drama Family MiraSorvino BarryPepper ColeHauser JonGunn,6.9
5904,Beware the Moon: Remembering 'An American Werewolf in London',Documentary PaulDavis RickBaker JennyAgutter PaulDavis,7.8
5905,Pumping Iron II: The Women,Documentary  None,7.8
5906,Chasing Mavericks,Drama GerardButler JonnyWeston ElisabethShue CurtisHanson,7.024
5907,The Imposter,Documentary Drama FrédéricBourdin AdamO'Brian AnnaRuben BartLayton,7.347
5908,The Other Dream Team,Documentary GregSpeirs JimLampley BillWalton MariusMarkevicius,7.2
5909,The Sessions,Drama Romance Comedy JohnHawkes HelenHunt WilliamH.Macy BenLewin,6.9
5910,Lana Turner... a Daughter's Memoir,Documentary  CaroleLanger,7.3
5911,Remember the Day,War Drama Romance ClaudetteColbert JohnPayne ShepperdStrudwick HenryKing,7.0
5912,A Child Is Waiting,Drama JudyGarland BurtLancaster GenaRowlands JohnCassavetes,6.9
5913,Kounterfeit,Thriller Drama Action Crime GilBernardy CorbinBernsen BobbieBrown JohnAsher,7.0
5914,Wreck-It Ralph,Family Animation Comedy Adventure JohnC.Reilly SarahSilverman JackMcBrayer RichMoore,7.324
5915,Silver Linings Playbook,Drama Comedy Romance DenzelWashington DonCheadle BruceGreenwood RobertZemeckis,7.124
5916,Flight,Drama EmadBurnat MohammedBurnat SorayaBurnat EmadBurnat,6.807
5917,Five Broken Cameras,War Documentary KeiraKnightley JudeLaw AaronTaylor-Johnson JoeWright,7.421
5918,Anna Karenina,Drama Romance SurajSharma IrrfanKhan AyushTandon AngLee,6.7
5919,Life of Pi,Adventure Drama Action GeorgeSanders SallyGray DavidBurns JohnPaddyCarstairs,7.395
5920,Two Days In April,Documentary RussellCrowe LucyLiu JamieChung RZA,7.3
5921,Wake in Fright,Drama Thriller ViolaDavis MaggieGyllenhaal VingRhames DanielBarnz,7.325
5922,A Late Quartet,Music Drama MeisaKuroki ShosukeTanihara YasukoMatsuyuki FumihikoSori,6.697
5923,The Age of Innocence,Drama Romance SharonLawrence Mark-PaulGosselaar CarlLewis BillCorcoran,6.998
5924,The Lady,Drama EricIdle NeilInnes RickyFataar EricIdle,6.845
5925,The Rutles 2: Can't Buy Me Lunch,Comedy Documentary Foreign SergeyBondarchuk ZinaidaKirienko PavelVolkov SergeyBondarchuk,6.563
5926,Something's Gonna Live,Documentary ShotaSometani FumiNikaido TetsuWatanabe SionSono,8.5
5927,Brooklyn Castle,Documentary DanielAuteuil KadMerad SabineAzéma DanielAuteuil,6.9
5928,The Ambush: Incident at Blood Pass,Action Drama Foreign AndyLau JackyCheung EricTsang WongChing-Po,6.8
5929,Indie Game: The Movie,Documentary PeterWeller ArielWinter DavidSelby JayOliva,7.553
5930,"Batman: The Dark Knight Returns, Part 1",Action Animation GadElmaleh NatachaRégnier GabrielByrne Costa-Gavras,7.741
5931,The Conscientious Objector,Documentary AurélienRecoing VirginieEfira BenoîtPoelvoorde OliasBarco,7.4
5932,Lincoln,History Drama PattonOswalt JohnnyKnoxville RobRiggle ToddRohal,6.861
5933,La Bohème,Romance Drama EricBogosian JeffDaniels BradDavis RobertAltman,10.0
5934,The Caine Mutiny Court-Martial, AliciaSilverstone KrystenRitter SigourneyWeaver AmyHeckerling,6.6
5935,Cash on Demand,Crime Drama  CosmoJarvis,7.622
5936,The Naughty Room, SarahBolger LilyCole SarahGadon MaryHarron,6.7
5937,The Invisible War,Crime Drama History Documentary PareshRawal AkshayKumar MithunChakraborty UmeshShukla,7.255
5938,10 Years,Comedy Drama ParkerPosey JuanLuisAcevedo FrankAmoruso MichaelWalker,6.95
5939,Rise of the Guardians,Fantasy Animation Family DonHollenbeck StanleyKubrick,7.362
5940,Les modèles de 'Pickpocket',Documentary BenKingsley AmyIrving AlecBaldwin DavidHughJones,7.0
5941,The Confession,Drama Thriller KathrynGrayson RedSkelton HowardKeel MervynLeRoy,6.6
5942,The Perfect Family,Comedy Drama TomGreen AnnaPopplewell IainBelcher StewartHendler,6.516
5943,Step Up Revolution,Music Drama Romance RedSkelton GloriaDeHaven WalterSlezak JackDonohue,6.923
5944,Jungle de Ikou,Animation Comedy Fantasy  AustinJackLynch,6.8
5945,Rebecca of Sunnybrook Farm,Drama Family Music KeithDavid KevinConway BlytheDanner KenBurns,6.821
5946,Mark Twain,Documentary JoeRogan RalphAbraham JoelBakst MitchSchultz,7.034
5947,Shaolin Wooden Men,Action JackieChan PaulChunPui FungHak-On ChenChi-Hwa,6.8
5948,Paperman,Animation Family Romance JackieChan HsuFeng SinIl-Ryong LoWei,8.004
5949,The Statue of Liberty,History Documentary DavidArquette ThoraBirch BalthazarGetty JayAlaimo,6.7
5950,Slingshot,Crime Drama Romance Thriller DavidMcCullough PaulRoebling JulieHarris KenBurns,7.1
5951,Brooklyn Bridge,Documentary History MeganWard PeterBillingsley JohndeLancie AlbertPyun,7.2
5952,Paramore: The Final Riot!,Music DannyTrejo CharlesS.Dutton RonPerlman CraigMoss,8.4
5953,Hitchcock,Drama CosimoRega SalvatoreStriano GiovanniArcuri PaoloTaviani,6.518
5954,Lulu in Berlin,Documentary  BernardÉmond,7.0
5955,A Season for Miracles,Drama Romance  PaulPowell,7.5
5956,The Awful Truth, JackieChan LiBingbing JoanChen JackieChan,7.297
5957,Carol Channing: Larger Than Life,Documentary Music Romance BillyZane TriciaHelfer DennisHopper BennettDavlin,7.8
5958,Memory,Thriller SciFi Mystery JetLi WooGin-Keung WongChau-Yin LiuChia-Liang,6.939
5959,Little Miss Broadway,Drama Family Music ShirleyTemple WilliamGargan GuyKibbee EdwinL.Marin,6.6
5960,Mr. Belvedere Goes to College,Comedy Drama IanMcKellen MartinFreeman RichardArmitage PeterJackson,6.6
5961,The Hobbit: An Unexpected Journey,Adventure Fantasy Action  ElfiMikesch,7.335
5962,The Fitzgerald Family Christmas,Drama Family BillMurray OliviaWilliams LauraLinney RogerMichell,6.618
5963,The Enforcer,Action Thriller Crime JetLi RosamundKwan TakeshiKaneshiro ChingSiu-Tung,7.3
5964,Contract Killer,Action Comedy ChowYun-fat DannyLeeSau-Yin NgMan-Tat ChuanChen,6.958
5965,"All Blossoms Again: Pedro Costa, Director",Documentary DennisFarina JamieAnneAllman IanBarford JoeMaggio,8.0
5966,Zero Dark Thirty,Thriller Drama History MaeveJinkings IrandhirSantos GustavoJahn KleberMendonçaFilho,6.982
5967,Chasing Ice,Documentary CalebLandryJones SarahGadon MalcolmMcDowell BrandonCronenberg,7.413
5968,The Three Brothers,Comedy SeanFaris RachaelTaylor LukeFord ChrisHartwill,6.976
5969,Filming Othello,Documentary KojiYakusho ShunOguri KengoKora ShûichiOkita,7.1
5970,Chained,Horror Thriller JeffDaniels PatriciaHeaton HallieKateEisenberg RichardBenjamin,6.736
5971,Jack Reacher,Crime Drama Thriller JamieFoxx ChristophWaltz LeonardoDiCaprio QuentinTarantino,6.592
5972,Django Unchained,Drama Western PaulRudd LeslieMann JasonSegel JuddApatow,8.165
5973,Cirque du Soleil: Worlds Away,Fantasy Family NaomiWatts EwanMcGregor TomHolland JuanAntonioBayona,7.046
5974,The Impossible,Thriller Drama SterlingHayden EvaMarieSaint BenGazzara JosephL.Mankiewicz,7.363
5975,Les Misérables,Drama Music Romance DanielaPoggi AdrianoMicantoni MaristellaGreco CesareCanevari,6.819
5976,Minecraft: The Story of Mojang,Documentary ShannonLucio RileySmith JustinBaldoni PaulShapiro,6.976
5977,Aziz Ansari: Intimate Moments for a Sensual Evening,Comedy JohnMagaro JamesGandolfini BellaHeathcote DavidChase,6.739
5978,The Reluctant Dragon,Fantasy Animation Family Comedy DreyaWeber ParisPickard ChristineMourad NedFarr,6.692
5979,Kumaré,Documentary CatrionaMacColl BarryStokes JonasBergström JacquesDemy,6.877
5980,Kevin Smith: Burn in Hell,Comedy MarkHamill KittyAldridge BobPeck StevenLisberger,7.0
5981,Sexy Baby,Documentary CatErickson AdrienneLockett CurtisLockett DamonRussell,6.7
5982,Born to Be Wild,Documentary RobertPaige LeslieBrooks RussVincent JackBernhard,7.102
5983,Trek Nation,Documentary  AdiLavy,6.975
5984,The Central Park Five,Documentary JoshStewart ChristopherMcDonald EmmaFitzpatrick MarcusDunstan,7.011
5985,Jean Renoir: Part One - From La Belle Époque to World War II,Documentary  RaymondDeFelitta,10.0
5986,Booker's Place: A Mississippi Story,Documentary AnneMarsen DaiOmiya JohnDoyle JacobKrupnick,7.0
5987,Girl Walk // All Day,Music GermándeSilva HebeDuarte NayraCalleMamani PabloGiorgelli,7.5
5988,Just Ask My Children,Drama TV Movie JohnStamos Vanity GeneSimmons GilBettman,7.0
5989,Yesterday's Enemy,Drama War ShirleyTemple JackOakie CharlotteGreenwood AllanDwan,7.161
5990,Stevie,Drama Horror Thriller Foreign JasonBateman JuddApatow WillArnett MorganSpurlock,6.759
5991,Les Misérables,Drama History MichaelRennie DebraPaget RobertNewton LewisMilestone,6.819
5992,Les Miserables,Drama Romance HenryFonda LucilleBall BartonMacLane IrvingReis,6.9
5993,The True Meaning of Christmas Specials,  StevenClarke,7.0
5994,Offender,Thriller  None,6.973
5995,I Know What I Saw,Documentary SciFi RayWinstone BenDrew HayleyAtwell NickLove,7.7
5996,Comedy Central Roast of Bob Saget,Comedy CharlieAdler TressMacNeille JoeAlaskey None,6.917
5997,Tiny Toon Adventures: How I Spent My Vacation,Adventure Animation Comedy Family R.Kelly CatWilson RolandoBoyce R.Kelly,6.7
5998,Trapped in the Closet: Chapters 1-12, SpencerTracy KatharineHepburn RobertWalker EliaKazan,7.071
5999,Dr. Bronner's Magic Soapbox,Documentary GaryOldman ChristianSlater MeganPark MichaelWinnick,6.714
6000,A Conversation with Gregory Peck, CatherineFrot AlbertDupontel JacquesWeber Eric-EmmanuelSchmitt,8.0
6001,Pusher,Crime Thriller RachelYork DannyPino AnnDowd GlennA.Jordan,6.946
6002,The Hollywood Complex,Documentary Comedy Family DaniellePanabaker SherryStringfield SarahMaine MichaelLandonJr.,6.9
6003,She Had to Say Yes,Drama RonLivingston VinessaShaw RickGomez RobertCelestino,6.6
6004,It's Such a Beautiful Day,Fantasy Animation Comedy Drama ToriSpelling LesWilliams C.JayCox,7.945
6005,The Waiting Room,Drama Documentary Romance GingerBaker BobAdcock TonyAllen JayBulger,7.088
6006,Beware of Mr. Baker,Documentary PeterWeller ArielWinter DavidSelby JayOliva,7.5
6007,"Batman: The Dark Knight Returns, Part 2",Action Animation VincentSpano MichaelWinslow KateVernon AmosPoe,7.941
6008,Cleanflix,Documentary MollyWindsor RobertCarlyle LaurenSocha SamanthaMorton,7.0
6009,The Unloved,Drama  JiříTrnka,6.9
6010,Paul Williams Still Alive,Music Documentary KaceyMottetKlein LéaSeydoux MartinCompston UrsulaMeier,6.8
6011,Mea Maxima Culpa: Silence in the House of God,Documentary DanielCraig PierceBrosnan TimothyDalton StevanRiley,7.5
6012,Everything or Nothing,Documentary LanaWood IronEyesCody AlexCord CharlesB.Pierce,7.302
6013,Jesse Stone: Stone Cold,TV Movie Crime Drama Thriller TomSelleck ViolaDavis KohlSudduth RobertHarmon,6.962
6014,Jesse Stone: Death in Paradise,Drama Thriller Crime Mystery TomSelleck KathyBaker KohlSudduth RobertHarmon,7.0
6015,Jesse Stone: Sea Change,TV Movie Drama Thriller Crime NatashaRinis SayedBadreya PhilipWillingham YanVizinberg,7.139
6016,Jesse Stone: No Remorse,Drama Thriller Crime Mystery TomSelleck KathyBaker KohlSudduth DickLowry,6.929
6017,Jesse Stone: Innocents Lost,TV Movie Drama Thriller Crime Mystery TomSelleck KathyBaker KohlSudduth RobertHarmon,6.588
6018,Jesse Stone: Benefit of the Doubt,Drama Thriller Crime Mystery DianaVreeland LisaImmordinoVreeland,7.033
6019,Diana Vreeland: The Eye Has to Travel,Documentary JesúsOchoa ArmandoHernández JorgeAdriánEspíndola ChristopherZalla,7.2
6020,Careless Love, RogerSharpe RickStetta PatLawlor BrettSullivan,7.3
6021,Special When Lit,Documentary LuisDubó SergioHernández VivianaHerrera SebastiánLelio,6.739
6022,Double Indemnity,Crime Drama TV Movie Thriller LonChaney MarcelineDay AndyMacLennan TodBrowning,8.147
6023,London After Midnight, MarkWahlberg RussellCrowe CatherineZeta-Jones AllenHughes,6.595
6024,Marina Abramović: The Artist Is Present,Documentary DiegoNoguera NathaliaGalgani GabrielaArancibia CristiánJiménez,7.542
6025,The Comic,Comedy Drama HuntzHall StanleyClements DavidGorcey WilliamBeaudine,6.6
6026,Up In Smoke,Comedy MarielHemingway DougSavant MonicaKeena ArmandMastroianni,6.694
6027,Jason Becker: Not Dead Yet,Music Documentary CorinNemec AndrewDivoff TonyTodd MichaelFeifer,7.5
6028,Beauty Is Embarrassing,Documentary AshleyArbaugh RachelBlais NadyaVall DavidRedmon,7.2
6029,Crossfire Hurricane,Documentary Music DavidOyelowo MayaGilbert SharonLawrence AvaDuVernay,7.4
6030,Madagascar,Documentary Foreign SamiBouajila MauriceBénichou DenisPodalydès RoschdyZem,6.886
6031,Stella Maris,Drama EmilyHampshire EliasKoteas JohnPyper-Ferguson DominicJames,6.72
6032,Punching the Clown,Comedy Music  KimSaarniluoto,7.286
6033,Tale of a Forest,Documentary Family KatherynWinnick NicholasTucci KevinPollak MarcusGraves,7.0
6034,The Iceman Tapes: Conversations with a Killer,Documentary CristiHarris DarinHeames RobertJayne BrianTrenchard-Smith,7.333
6035,The Pervert's Guide to Ideology,Documentary JasonStatham JenniferLopez NickNolte TaylorHackford,7.2
6036,The Act in Question,Drama CarlenAltman AlexRossPerry BobByington AlexRossPerry,7.8
6037,Murder by Proxy:  How America Went Postal,Documentary MaryCarey AmberLynn JohnLeslie BryceWagoner,8.0
6038,Starlet,Drama  KristinaLindström,6.9
6039,Poor Us: An Animated History of Poverty,Documentary VirginiaMadsen AlexHyde-White ReedDiamond DelbertMann,8.0
6040,Ironclads,TV Movie History War JimJefferies JayKaras,10.0
6041,Jim Jefferies: Fully Functional,Comedy TomPetty RonBlair MikeCampbell PeterBogdanovich,7.577
6042,Tom Petty and the Heartbreakers: Runnin' Down a Dream,Documentary Music ChristianSlater NeveCampbell HarryEnfield PeterRichardson,7.457
6043,The Music Man,Comedy Drama Romance Music Family  AlexDawson,7.188
6044,"Wild Horse, Wild Ride",Documentary Western ManoloBlahnik Fergie ChristianLouboutin JulieBenasra,8.444
6045,God Save My Shoes,Documentary JesseEisenberg MelissaLeo TracyMorgan RonNyswaner,6.7
